,open,high,low,close,adjusted close,volume,dividend amount,split cf,date
207,119.36,121.0,119.28,119.44,108.673164106,6311881,0.0000,1.0,2021-02-02
208,119.9,120.95,118.73,120.54,109.674005369,6250508,0.0000,1.0,2021-02-01
209,120.22,121.3,118.9,119.11,108.372911727,11825496,0.0000,1.0,2021-01-29
210,122.8,123.2,120.07,120.08,109.25547175,8084051,0.0000,1.0,2021-01-28
211,122.08,124.79,121.6214,122.47,111.430026859,12146541,0.0000,1.0,2021-01-27
212,119.18,122.59,118.42,122.49,111.448223973,10694708,0.0000,1.0,2021-01-26
213,118.7624,119.538,117.45,118.58,107.890688209,13686391,0.0000,1.0,2021-01-25
214,120.7,120.7,117.36,118.61,107.917983879,38063533,0.0000,1.0,2021-01-22
215,130.12,132.24,130.05,131.65,119.782502131,12819233,0.0000,1.0,2021-01-21
216,129.7,131.06,128.56,130.08,118.354028691,5598705,0.0000,1.0,2021-01-20
217,129.28,129.59,128.0885,129.02,117.389581655,5397956,0.0000,1.0,2021-01-19
218,128.28,129.24,127.67,128.39,116.816372568,4905506,0.0000,1.0,2021-01-15
219,128.02,130.16,127.55,128.97,117.344088871,7503180,0.0000,1.0,2021-01-14
220,129.15,129.75,126.455,126.92,115.478884698,7677739,0.0000,1.0,2021-01-13
221,129.09,129.85,127.94,129.21,117.562454237,3729068,0.0000,1.0,2021-01-12
222,127.95,129.675,127.66,128.58,116.98924515,5602466,0.0000,1.0,2021-01-11
223,128.57,129.32,126.98,128.53,116.943752365,4676487,0.0000,1.0,2021-01-08
224,130.04,130.46,128.26,128.99,117.362285984,4507382,0.0000,1.0,2021-01-07
225,126.9,131.88,126.72,129.29,117.635242693,7956740,0.0000,1.0,2021-01-06
226,125.01,126.68,124.61,126.14,114.769197256,6114619,0.0000,1.0,2021-01-05
227,125.85,125.9174,123.04,123.94,112.767514729,5179161,0.0000,1.0,2021-01-04
228,124.22,126.03,123.99,125.88,114.532634776,3574696,0.0000,1.0,2020-12-31
